Link,Status,Status Code
https://jiji.ng/,Valid,200
https://jiji.ng/?auth=Login,Valid,200
https://jiji.ng/?auth=Registration,Valid,200
https://jiji.ng/vehicles,Valid,200
https://jiji.ng/real-estate,Valid,200
https://jiji.ng/mobile-phones-tablets,Valid,200
https://jiji.ng/electronics,Valid,200
https://jiji.ng/home-garden,Valid,200
https://jiji.ng/fashion-and-beauty,Valid,200
https://jiji.ng/health-and-beauty,Valid,200
https://jiji.ng/services,Valid,200
https://jiji.ng/repair-and-construction,Valid,200
https://jiji.ng/office-and-commercial-equipment-tools,Valid,200
https://jiji.ng/hobbies-art-sport,Valid,200
https://jiji.ng/babies-and-kids,Valid,200
https://jiji.ng/agriculture-and-foodstuff,Valid,200
https://jiji.ng/animals-and-pets,Valid,200
https://jiji.ng/jobs,Valid,200
https://jiji.ng/seeking-work-cvs,Valid,200
https://jiji.ng/,Valid,200
https://jiji.ng/,Valid,200
https://vs925428.typeform.com/to/jAHq8Mhw,Valid,200
https://youtube.com/shorts/_6hlf1lQlnA,Valid,200
https://www.youtube.com/watch?v=V4m8AA7HWN0,Valid,200
https://jiji.ng/lekki/cars/toyota-rav4-se-awd-2-5l-4cyl-6a-2016-burgundy-isW90vns6MdTvCX0ddqfNtsA.html?indexPosition=0,Valid,200
https://jiji.ng/wuye/cars/toyota-camry-2015-silver-gbGfCfuLX5JIKRGax0W8F8C.html?indexPosition=4,Valid,200
https://jiji.ng/gwarinpa/cars/toyota-highlander-2021-silver-CcaLpbKD5VBFpHGBvhXmubU4.html?indexPosition=8,Valid,200
https://jiji.ng/ikeja/mobile-phones/samsung-galaxy-s24-ultra-256-gb-purple-kHqymMct1HBW15WyHjrVRdUC.html?indexPosition=12,Valid,200
https://jiji.ng/ikeja/mobile-phones/apple-iphone-12-64-gb-blue-roBfDmG9c1C96Yw0ZapEl3Ul.html?indexPosition=16,Valid,200
https://jiji.ng/lagos/car-parts-and-accessories/shock-absorber-pad-for-all-motor-b3kEJMUDtcZ1iRCiHdYSbzft.html?indexPosition=20,Valid,200
https://jiji.ng/kaduna-north/cars/mercedes-benz-c240-2006-white-gjldIm1bEW5s9GzhOuH3lpng.html?indexPosition=1,Valid,200
https://jiji.ng/surulere/cars/toyota-highlander-limited-2012-burgundy-a35pFbkwcQko2O2YH99BrxBt.html?indexPosition=5,Valid,200
https://jiji.ng/isolo/mobile-phones/apple-iphone-12-64-gb-white-zbMVMQsT6G9krGQc5oJXw2lw.html?indexPosition=9,Valid,200
https://jiji.ng/oredo/mobile-phones/apple-iphone-xr-64-gb-red-BiKRZJmBll8HClsjDHbaV5uh.html?indexPosition=13,Valid,200
https://jiji.ng/igando-ikotun/mobile-phones/samsung-galaxy-s22-5g-256-gb-gold-k0cSZhZwXgwDiJwhG2qZtmIZ.html?indexPosition=17,Valid,200
https://jiji.ng/lagos/car-parts-and-accessories/hub-bearing-for-all-cars-japan-standard-q0AZYTZuVAzLINAUiCPoho8T.html?indexPosition=21,Valid,200
https://jiji.ng/central-business-district/cars/honda-accord-2018-gray-zy9cIBfRrRvBNlLRSuKExCzz.html?indexPosition=2,Valid,200
https://jiji.ng/alimosho/cars/lexus-rx-350-2012-blue-BcbTbbHa7UBgn8OTTKbujAlC.html?indexPosition=6,Valid,200
https://jiji.ng/ikeja/mobile-phones/xiaomi-redmi-note-13-pro-5g-256-gb-black-BIJz4kqXmHCj47baHiajGuv6.html?indexPosition=10,Valid,200
https://jiji.ng/ajah/mobile-phones/apple-iphone-xr-64-gb-red-BxLVsRjWadHZtfjtXL1qfv7D.html?indexPosition=14,Valid,200
https://jiji.ng/garki-i/car-parts-and-accessories/floor-matt-inHNU6VYHcs10WDcBIvKZaWp.html?indexPosition=18,Valid,200
https://jiji.ng/lagos/car-parts-and-accessories/original-toyota-stabilizer-bushing-for-all-cars-oGDtt42VfiNWmsv4DHaNUosI.html?indexPosition=22,Valid,200
https://jiji.ng/abuja/cars/toyota-4-runner-2011-silver-5ia0txdPA3beI4CSiKUxF03W.html?indexPosition=3,Valid,200
https://jiji.ng/alimosho/cars/toyota-venza-awd-2011-black-czLzhTPN2vlblIzVoonQPFlp.html?indexPosition=7,Valid,200
https://jiji.ng/ikeja/mobile-phones/new-xiaomi-poco-x7-pro-256-gb-black-cxWtQ1KafU6hF80pOEHOikXJ.html?indexPosition=11,Valid,200
https://jiji.ng/victoria-island/mobile-phones/apple-iphone-15-plus-128-gb-pink-9R0e53fv19L7BTvK0RN6yoLZ.html?indexPosition=15,Valid,200
https://jiji.ng/ibadan/car-parts-and-accessories/brand-new-tire-rfBNqwfvD5rwVom9OaXTMK1K.html?indexPosition=19,Valid,200
https://jiji.ng/garki-i/car-parts-and-accessories/tinted-flames-available-6fOm5oQ3AOmCWPOkWbP3mV2Q.html?indexPosition=23,Valid,200
https://jiji.ng/about.html,Valid,200
https://jiji.ng/hiring.html,Valid,200
https://jiji.ng/rules.html,Valid,200
https://jiji.ng/privacy.html,Valid,200
https://jiji.ng/billing-policy.html,Valid,200
https://jiji.ng/jiji-pages/candidate-privacy-policy,Valid,200
https://jiji.ng/jiji-pages/cookie-policy,Valid,200
https://jiji.ng/jiji-pages/copyright-infringement-policy,Valid,200
mailto:support@jiji.ng,Error,No connection adapters were found for 'mailto:support@jiji.ng'
https://jiji.ng/safety-tips.html,Valid,200
https://jiji.ng/contacts.html,Valid,200
https://jiji.ng/faq,Valid,200
https://itunes.apple.com/us/app/jiji.ng/id966165025,Valid,200
https://play.google.com/store/apps/details?id=ng.jiji.app,Valid,200
https://www.facebook.com/Jiji.Nigeria,Valid,200
https://www.instagram.com/jijinigeria/,Valid,200
https://www.youtube.com/channel/UCvAyphNspDQMFnp7g57jH-g,Valid,200
https://twitter.com/jijinigeria,Valid,200
https://jiji.africa,Valid,200
https://jiji.co.ke,Broken,403
https://jiji.ug,Broken,403
https://jiji.co.tz,Broken,403
https://jiji.com.gh,Valid,200
https://jiji.com.et,Valid,200
https://jiji.sn,Valid,200
https://jiji.co.ci,Valid,200
https://jiji-bd.com,Valid,200
https://jiji.lk,Valid,200
https://jiji.cd,Valid,200
https://jiji.cg,Valid,200
https://milay.pk,Valid,200
